               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.017869,             0.01021,           0.0093506,             0.90124,               0.894,             0.93699,             0.81812,            0.012579,           0.0032977,           0.0090379,            0.002872,            0.002872,            0.002872
                  38,            0.016559,           0.0098244,           0.0092904,             0.91634,             0.87231,             0.93045,             0.81506,            0.013442,           0.0034284,             0.00929,            0.002674,            0.002674,            0.002674
                  39,            0.016604,           0.0099734,           0.0087836,             0.91297,             0.87064,             0.93476,             0.82182,            0.013102,           0.0033949,            0.010568,            0.002476,            0.002476,            0.002476
                  40,             0.01594,            0.009881,           0.0086192,             0.88621,             0.88797,             0.93512,             0.82032,            0.012777,           0.0034196,            0.010964,            0.002278,            0.002278,            0.002278
                  41,            0.016279,           0.0095861,            0.008735,             0.90208,             0.89034,             0.93565,             0.82642,            0.013244,           0.0035054,             0.01157,             0.00208,             0.00208,             0.00208
                  42,            0.016141,           0.0095025,           0.0087469,             0.91047,             0.88131,             0.93233,             0.82288,            0.012849,           0.0034432,           0.0094998,            0.001882,            0.001882,            0.001882
                  43,            0.015414,           0.0094693,           0.0078233,             0.92548,             0.87667,                0.94,             0.82997,            0.013035,            0.003323,            0.011125,            0.001684,            0.001684,            0.001684
                  44,            0.014642,           0.0092103,            0.006974,             0.93158,             0.87614,              0.9368,             0.82498,            0.013044,           0.0033701,            0.010849,            0.001486,            0.001486,            0.001486
                  45,            0.014814,           0.0092669,           0.0070935,             0.90371,             0.89152,             0.93511,             0.82492,            0.012819,           0.0033832,            0.010747,            0.001288,            0.001288,            0.001288
                  46,             0.01504,           0.0093132,           0.0077486,             0.93594,             0.88065,             0.94006,             0.83034,            0.012288,           0.0032765,            0.010848,             0.00109,             0.00109,             0.00109
                  47,            0.014595,           0.0089916,           0.0072179,             0.93334,             0.88246,             0.93795,             0.82897,            0.012608,           0.0033507,            0.010347,            0.000892,            0.000892,            0.000892
                  48,            0.014119,           0.0089536,           0.0070048,             0.93631,             0.88858,             0.94088,             0.83214,            0.012582,           0.0033188,            0.010024,            0.000694,            0.000694,            0.000694
                  49,            0.014079,           0.0091396,           0.0063306,             0.94227,             0.88097,             0.93795,             0.83036,            0.012346,           0.0033438,           0.0097759,            0.000496,            0.000496,            0.000496
