               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.020121,            0.011711,            0.013433,             0.86203,             0.88751,              0.9208,             0.78819,            0.015005,           0.0039613,            0.012667,            0.002872,            0.002872,            0.002872
                  38,            0.019828,            0.011453,               0.013,             0.90347,             0.84988,             0.92048,             0.79646,             0.01443,            0.003844,            0.012999,            0.002674,            0.002674,            0.002674
                  39,            0.018761,            0.011217,            0.012911,             0.92001,             0.84416,             0.91652,             0.78724,            0.015035,           0.0038432,            0.013528,            0.002476,            0.002476,            0.002476
                  40,            0.019155,             0.01109,            0.012808,             0.88222,             0.87543,             0.91981,             0.79733,            0.014474,           0.0037929,            0.014671,            0.002278,            0.002278,            0.002278
                  41,            0.019314,            0.011343,            0.011487,             0.89094,             0.88335,             0.92857,              0.8022,            0.014443,           0.0038322,             0.01468,             0.00208,             0.00208,             0.00208
                  42,            0.018692,            0.011043,            0.012461,             0.92728,              0.8566,             0.92601,             0.79844,            0.014314,            0.003766,            0.013779,            0.001882,            0.001882,            0.001882
                  43,            0.018034,            0.010928,            0.011769,             0.93149,             0.84522,             0.92245,             0.79416,            0.014487,           0.0038408,             0.01246,            0.001684,            0.001684,            0.001684
                  44,             0.01848,            0.011005,            0.011349,             0.91564,             0.86898,              0.9243,             0.79638,            0.013819,           0.0038123,            0.010679,            0.001486,            0.001486,            0.001486
                  45,            0.017693,            0.010929,            0.011046,             0.91384,             0.87896,             0.92542,             0.79893,            0.014449,           0.0038063,            0.012878,            0.001288,            0.001288,            0.001288
                  46,            0.018158,            0.010885,           0.0099934,             0.91681,             0.86598,              0.9279,             0.80143,              0.0142,           0.0037341,            0.013422,             0.00109,             0.00109,             0.00109
                  47,            0.017334,            0.010531,            0.010613,             0.92305,             0.86384,              0.9298,             0.81028,            0.013937,            0.003775,            0.013567,            0.000892,            0.000892,            0.000892
                  48,            0.017097,            0.010555,            0.010056,             0.94046,             0.85888,             0.92799,             0.80692,            0.014024,           0.0037751,             0.01353,            0.000694,            0.000694,            0.000694
                  49,            0.016934,            0.010452,           0.0096816,             0.93699,             0.85668,             0.93207,             0.80832,            0.014351,           0.0038191,            0.013565,            0.000496,            0.000496,            0.000496
